;Definition;Type;Example;synonyms
fact;"When you refer to something as a fact or as fact, you mean that you think it is true or correct.
";variable noun; ...a statement of verifiable historical fact.;truth,reality,certainty,detail,point,feature,particular,
factor;"A factor is one of the things that affects an event, decision, or situation.
";countable noun; Physical activity is an important factor in maintaining fitness.;element,thing,point,part,
factory;"A factory is a large building where machines are used to make large quantities of goods.
";countable noun; He owned furniture factories in New York State.;works,plant,mill,workshop,
faculty;"Your faculties are your physical and mental abilities.
";countable noun; He was drunk and not in control of his faculties.;power,reason,sense,intelligence,department,school,discipline,profession,staff,
fade;"When a coloured object fades or when the light fades it, it gradually becomes paler.
";verb; All colour fades–especially under the impact of direct sunlight.;dull,dim,bleach,discoloured,pale,bleached,washed out,dim,
fail;"If you fail to do something that you were trying to do, you are unable to do it or do not succeed in doing it.
";verb; The Workers' Party failed to win a single governorship.;founder,wither,perish,sag,droop,crash,collapse,disappear,fade,dim,disappoint,abandon,desert,neglect,
failure;"Failure is a lack of success in doing or achieving something, especially in relation to a particular activity.
";uncountable noun; This policy is doomed to failure.;defeat,collapse,abortion,catastrophe,disaster,fiasco,loser,disappointment,failing,decay,loss,bankruptcy,crash,collapse,ruin,
fair;"Something or someone that is fair is reasonable, right, and just.
";adjective; It didn't seem fair to leave out her father.;unbiased,impartial,even-handed,unprejudiced,honestly,respectable,middling,average,reasonable,white,pale,fine,clear,dry,bright,
fairly;"Fairly means to quite a large degree. For example, if you say that something is fairly old, you mean that it is old but not very old.
";adverb; Both ships are fairly new.;rather,quite,somewhat,positively,really,simply,absolutely,deservedly,honestly,
faith;"If you have faith in someone or something, you feel confident about their ability or goodness.
";uncountable noun; She had placed a great deal of faith in Mr Penleigh.;confidence,trust,credit,conviction,
fall;"If someone or something falls, they move quickly downwards onto or towards the ground, by accident or because of a natural force.
";verb; Her father fell into the sea after a massive heart attack.;drop,plunge,tumble,plummet,flat,decayed,lost,lost,dead,decrease,drop,decline,go down,die,perish,decrease,drop,decline,
false;"If something is false, it is incorrect, untrue, or mistaken.
";adjective;" It was quite clear the President was being given false information by those around
him.";untrue,fraudulent,unreal,lie,fraud,deception,untruth,deceit,dishonesty,inaccuracy,
familiar;"If someone or something is familiar to you, you recognize them or know them well.
";adjective; He talked of other cultures as if they were more familiar to him than his own.;well-known,household,everyday,disrespect,forwardness,friendship,intimacy,disrespect,forwardness,friendship,intimacy,acquaintance,experience,understanding,knowledge,disrespectful,forward,bold,disrespect,forwardness,friendship,intimacy,
family;"A family is a group of people who are related to each other, especially parents and their children.
";countable noun; There's room in there for a family of five.;people,issue,parentage,species,group,class,system,
famous;"Someone or something that is famous is very well known.
";adjective; New Orleans is famous for its cuisine.;well-known,celebrated,acclaimed,notable,
fan;"If you are a fan of someone or something, especially a famous person or a sport, you like them very much and are very interested in them.
";countable noun; They are both ardent Elvis fans.;supporter,lover,follower,enthusiast,blow,cool,refresh,stimulate,increase,excite,provoke,
fantasy;"A fantasy is a pleasant situation or event that you think about and that you want to happen, especially one that is unlikely to happen.
";countable noun; ...fantasies of romance and true love.;fairy tale,story,romance,imagination,invention,creativity,
far;"If one place, thing, or person is far away from another, there is a great distance between them.
";adverb; I know a nice little Italian restaurant not far from here.;deep,opposite,furthest,
farm;"A farm is an area of land, together with the buildings on it, that is used for growing crops or raising animals, usually in order to sell them.
";countable noun; Farms in France are much smaller than those in the United States or even Britain.;cultivate,work,plant,operate,
farmer;"A farmer is a person who owns or manages a farm.
";countable noun;She came from a family of dairy farmers.;
fashion;"Fashion is the area of activity that involves styles of clothing and appearance.
";uncountable noun; There are 20 full-colour pages of fashion for men.;style,look,trend,rage,
fast;"Fast means happening, moving, or doing something at great speed. You also use fast in questions or statements about speed.
";adjective; ...fast cars with flashing lights and sirens.;indelible,lasting,permanent,
fat;"If you say that a person or animal is fat, you mean that they have a lot of flesh on their body and that they weigh too much. You usually use the word fat when you think that this is a bad thing.
";adjective; I could eat what I liked without getting fat.;overweight,large,heavy,plump,corpulence,flab,oil,cream,butter,large,rich,substantial,
fate;"Fate is a power that some people believe controls and decides everything that happens, in a way that cannot be prevented or changed. You can also refer to the fates.
";uncountable noun; I see no use quarrelling with fate.;destiny,chance,fortune,luck,
father;"Your father is your male parent. You can also call someone your father if he brings you up as if he was this man. You can call your father 'Father'.
";countable noun; His father was a painter.;patriarch,founder,author,maker,architect,
fault;"If a bad or undesirable situation is your fault, you caused it or are responsible for it.
";singular noun; There was no escaping the fact: it was all his fault.;failing,lack,weakness,defect,criticize,blame,complain,condemn,
favor;"If you regard something or someone with favor, you like or support them.
";uncountable noun; It remains to be seen if the show will find favor with an audience.;service,benefit,courtesy,
favorite;"Your favorite thing or person of a particular type is the one you like most.
";adjective; He celebrated by opening a bottle of his favorite champagne.;
fear;"Fear is the unpleasant feeling you have when you think that you are in danger.
";variable noun; I was sitting on the floor shivering with fear.;anxiety,concern,worry,doubt,worry,suspect,anticipate,regret,feel,suspect,
feature;"A feature of something is an interesting or important part or characteristic of it.
";countable noun; Patriotic songs have long been a feature of Kuwaiti life.;aspect,quality,characteristic,attribute,spotlight,present,promote,
federal;"A federal country or system of government is one in which the different states or provinces
of the country have important powers to make their own laws and decisions.
";adjective; The provinces are to become autonomous regions in the new federal system.;
fee;"A fee is a sum of money that you pay to be allowed to do something.
";countable noun; He hadn't paid his television licence fee.;charge,pay,price,cost,
feed;"If you feed a person or animal, you give them food to eat and sometimes actually put it in their mouths.
";verb; We brought along pieces of old bread and fed the birds.;nourish,eat,supply,take,send,carry,
feel;"If you feel a particular emotion or physical sensation, you experience it.
";link verb; I am feeling very depressed.;touch,handle,manipulate,enjoy,notice,note,observe,perceive,
feeling;"A feeling is an emotion, such as anger or happiness.
";countable noun; It gave me a feeling of satisfaction.;emotion,sentiment,opinion,view,attitude,belief,passion,heat,emotion,intensity,ardour,love,care,affection,sensation,sense,impression,sense,perception,sensation,impression,idea,sense,notion,
fellow;"You use fellow to describe people who are in the same situation as you, or people you feel you have something in common with.
";adjective; She discovered, to her pleasure, a talent for making her fellow guests laugh.;man,boy,person,individual,associate,colleague,peer,
female;"Someone who is female is a woman or a girl.
";adjective; ...a sixteen-piece dance band with a female singer.;woman,lady,
fence;"A fence is a barrier between two areas of land, made of wood or wire supported by posts.
";countable noun; Villagers say the fence would restrict public access to the hills.;receiver,dealer,buyer,trader,
few;"You use a few to indicate that you are talking about a small number of people or things. You can also say a very few.
";determiner; I gave a dinner party for a few close friends.;
fewer;of a smaller number;adjective;It claims 250,000 people attended (others say far fewer).;
fiber;"A fiber is a thin thread of a natural or artificial substance, especially one that is used to make cloth or rope.
";countable noun; If you look at the paper under a microscope you will see the fibers.;
fiction;"Fiction refers to books and stories about imaginary people and events, rather than books about real people or events.
";uncountable noun; Immigrant tales have always been popular themes in fiction.;tale,story,novel,legend,
field;"A field is an area of grass, for example in a park or on a farm. A field is also an area of land on which a crop is grown.
";countable noun; ...a field of wheat.;meadow,land,green,pitch,park,ground,arena,line,reach,range,competition,practical,empirical,
fifteen;"Fifteen is the number 15.
";number;It expects to open ten to fifteen pubs for the full year.;
fifth;"The fifth item in a series is the one that you count as number five.
";ordinal number; Joe has recently returned from his fifth trip to Australia.;
fifty;"Fifty is the number 50.
";number; Fifty years is a long time in journalism.;
fight;"If you fight something unpleasant, you try in a determined way to prevent it or stop it happening.
";verb; More units to fight forest fires are planned.;strive,battle,push,struggle,cross swords,battle,war,conflict,combat,brawl,clash,quarrel,argue,row,dispute,match,contest,bout,battle,box,oppose,face,resist,resistance,spirit,pluck,repress,control,check,master,
fighter;"A fighter or a fighter plane is a fast military aircraft that is used for destroying other aircraft.
";countable noun; From the start it was clear this tiny girl was a real fighter.;boxer,pugilist,
fighting;"If you fight something unpleasant, you try in a determined way to prevent it or stop it happening.
";verb; More units to fight forest fires are planned.;strive,battle,push,struggle,cross swords,battle,war,conflict,combat,brawl,clash,quarrel,argue,row,dispute,match,contest,bout,battle,box,oppose,face,resist,resistance,spirit,pluck,repress,control,check,master,
figure;"A figure is a particular amount expressed as a number, especially a statistic.
";countable noun; We need a true figure of how many people in this country haven't got a job.;outline,form,shape,shadow,representation,image,likeness,shape,build,body,frame,personage,force,leader,follow,add up,
file;"A file is a box or a folded piece of heavy paper or plastic in which letters or documents are kept.
";countable noun; He sat behind a table on which were half a dozen files.;folder,case,dossier,record,information,data,march,troop,parade,
fill;"If you fill a container or area, or if it fills, an amount of something enters it that is enough to make it full.
";verb; Fill a saucepan with water and bring to a slow boil.;saturate,charge,pervade,permeate,satisfy,stuff,gorge,glut,
film;"A film consists of moving pictures that have been recorded so that they can be shown at the cinema or on television.
A film tells a story, or shows a real situation.
";countable noun; Everything about the film was good. Good acting, good story, good fun.;cinema,layer,covering,cover,skin,
final;"In a series of events, things, or people, the final one is the last one.
";adjective; They will hold a meeting in a final attempt to agree a common position.;irrevocable,absolute,decisive,definitive,
finally;"You use finally to suggest that something happens after a long period of time, usually later than you wanted or expected it to happen.
";adverb; The word was finally given for us to get on board.;eventually,at last,ultimately,
finance;"When someone finances something such as a project or a purchase, they provide the money that is needed to pay for them.
";verb; The fund has been used largely to finance the construction of federal prisons.;economics,business,money,
financial;"Financial means relating to or involving money.
";adjective; The company is in financial difficulties.;economic,business,money,
find;"If you find someone or something, you see them or learn where they are.
";verb; The police also found a pistol.;discover,uncover,unearth,obtain,get,procure,exist,occur,encounter,meet,recognize,consider,think,hold,believe,feel,have,experience,sense,discovery,catch,asset,bargain,
finding;"Someone's findings are the information they get or the conclusions they come to as the result of an investigation or some research.
";countable noun;" One of the main findings of the survey was the confusion about the facilities already
in place.";result,decision,conclusion,verdict,judgment,ruling,decision,award,
fine;"You use fine to describe something that you admire and think is very good.
";adjective; There is a fine view of the countryside.;excellent,good,striking,well,fit,healthy,satisfactory,good,all right,suitable,thin,small,light,narrow,stylish,expensive,elegant,refined,minute,exact,precise,nice,worthy,good,excellent,deserving,sunny,clear,fair,dry,penalty,punishment,forfeit,penalize,charge,punish,
finger;"Your fingers are the four long thin parts at the end of each hand.
";countable noun; She suddenly held up a small, bony finger and pointed across the room.;digit,thumb,touch,feel,handle,
finish;"When you finish doing or dealing with something, you do or deal with the last part of it, so that there is no more for you to do or deal with.
";verb; As soon as he'd finished eating, he excused himself.;stop,close,complete,achieve,complete,finalize,end,stop,conclude,end,ending,close,surface,appearance,polish,shine,
fire;"Fire is the hot, bright flames produced by things that are burning.
";uncountable noun; They saw a big flash and a huge ball of fire reaching hundreds of feet into the sky.;blaze,inferno,inspire,excite,stir,stimulate,passion,force,light,energy,shoot,explode,discharge,detonate,bombardment,criticism,condemnation,disapproval,dismiss,discharge,
firm;"A firm is an organization which sells or produces something or which provides a service
which people pay for.
";countable noun; The firm's employees were expecting large bonuses.;company,business,concern,association,hard,solid,compact,dense,hardness,resistance,density,tension,stability,strength,resolve,resolution,constancy,secure,strong,fixed,safely,strong,close,tight,steady,hardness,resistance,density,tension,stability,strength,resolve,resolution,constancy,strict,unwavering,unswerving,unshakeable,hardness,resistance,density,tension,stability,strength,resolve,resolution,constancy,strictly,hardness,resistance,density,tension,stability,strength,resolve,resolution,constancy,determined,true,settled,fixed,close,good,devoted,inseparable,hardness,resistance,density,tension,stability,strength,resolve,resolution,constancy,
first;"The first thing, person, event, or period of time is the one that happens or comes before all the others of the same kind.
";ordinal number; She lost 16 pounds in the first month of her diet.;to begin with,firstly,initially,novelty,innovation,originality,
fish;"A fish is a creature that lives in water and has a tail and fins. There are many different kinds of fish.
";countable noun; I was chatting to an islander who had just caught a fish.;angle,net,cast,trawl,
fishing;"Fishing is the sport, hobby, or business of catching fish.
";uncountable noun; Despite the poor weather the fishing has been pretty good.;angling,
fit;"If something fits, it is the right size and shape to go onto a person's body or onto a particular object.
";verb; The sash, kimono, and other garments were made to fit a child.;adapt,fashion,shape,arrange,place,position,insert,attach,join,connect,interlock,suit,meet,match,appropriate,qualified,suitable,competent,adaptation,competence,qualify,train,prepare,equip,health,strength,vigour,seizure,attack,bout,spasm,bout,burst,outbreak,outburst,
fitness;the state of being fit;noun;Are you into your health and fitness?;
five;"Five is the number 5.
";number; Eric Edward Bullus was born in Peterborough, the second of five children.;
fix;"If something is fixed somewhere, it is attached there firmly or securely.
";verb; It is fixed on the wall.;decide,set,name,choose,arrange,organize,repair,mend,service,sort,solution,result,answer,resolution,focus,prepare,make,cook,neaten,arrange,adjust,tidy,rig,influence,manipulate,dose,hit,shot,injection,mess,corner,destroy,ruin,
flag;"A flag is a piece of cloth which can be attached to a pole and which is used as a sign,
signal, or symbol of something, especially of a particular country.
";countable noun; The Marines raised the American flag.;banner,standard,weaken,fall,die,fail,
flame;"A flame is a hot bright stream of burning gas that comes from something that is burning.
";variable noun; The heat from the flames was so intense that roads melted.;fire,light,spark,glow,passion,fire,enthusiasm,intensity,
flat;"A flat is a set of rooms for living in, usually on one floor and part of a larger building.
A flat usually includes a kitchen and bathroom.
";countable noun; Sara lives with her partner and children in a flat in central London.;quarters,horizontal,prone,outstretched,uniformity,absolute,firm,direct,straight,absolutely,positively,dull,dead,empty,boring,emptiness,tedium,monotony,monotonous,boring,uniform,dull,
flavor;"The flavor of a food or drink is its taste.
";variable noun; I always add some paprika for extra flavor.;taste,seasoning,flavouring,savour,season,spice,enrich,
flee;"If you flee from something or someone, or flee a person or thing, you escape from them.
";verb; He slammed the bedroom door behind him and fled.;run away,leave,escape,bolt,
flesh;"Flesh is the soft part of a person's or animal's body between the bones and the skin.
";uncountable noun; ...maggots which eat away dead flesh.;meat,food,sensuality,pulp,
flight;"A flight is a journey made by flying, usually in an aeroplane.
";countable noun; The flight will take four hours.;journey,trip,voyage,aviation,flying,
float;"If something or someone is floating in a liquid, they are in the liquid, on or just below the surface, and are being
supported by it. You can also float something on a liquid.
";verb; They noticed fifty and twenty dollar bills floating in the water.;glide,sail,drift,waft,coast,drift,suggest,present,propose,recommend,launch,offer,sell,
floor;"The floor of a room is the part of it that you walk on.
";countable noun; Jack's sitting on the floor watching TV.;ground,storey,level,stage,tier,disconcert,stump,baffle,confound,fell,prostrate,
flow;"If a liquid, gas, or electrical current flows somewhere, it moves there steadily and continuously.
";verb; A stream flowed gently down into the valley.;run,course,rush,sweep,pour,move,sweep,flood,issue,follow,result,emerge,
flower;"A flower is the part of a plant which is often brightly coloured, grows at the end of a stem,
and only survives for a short time.
";countable noun; Each individual flower is tiny.;bloom,blossom,bloom,open,mature,flourish,blossom,grow,develop,progress,
fly;"A fly is a small insect with two wings. There are many kinds of flies, and the most common
are black in colour.
";countable noun; The planes flew through the clouds.;soar,glide,jet,pilot,control,operate,steer,airborne,floating,fast,running,express,speedy,hurried,brief,rushed,fleeting,flutter,wave,float,flap,rush,race,shoot,career,leave,disappear,get away,depart,
focus;"If you focus on a particular topic or if your attention is focused on it, you concentrate on it and think about it, discuss it, or deal with it, rather than dealing with other topics.
";verb;" The research effort has focused on tracing the effects of growing levels of five
compounds.";centre,core,attention,concern,priority,concentration,fix,train,direct,aim,
folk;"You can refer to people as folk or folks.
";plural noun; Country folk can tell you that there are certain places which animals avoid.;family,race,
follow;"If you follow someone who is going somewhere, you move along behind them because you want to go to the same place.
";verb; We followed him up the steps into a large hall.;accompany,attend,escort,pursue,track,dog,hunt,result,issue,develop,spring,obey,observe,succeed,replace,understand,get,see,catch,support,cultivate,
following;"Following a particular event means after that event.
";preposition;" In the centuries following Christ's death, Christians genuinely believed the world
was about to end.";next,subsequent,successive,ensuing,coming,backing,public,support,
food;"Food is what people and animals eat.
";variable noun; Enjoy your food.;nourishment,fare,
foot;"Your feet are the parts of your body that are at the ends of your legs, and that you stand on.
";countable noun; She stamped her foot again.;bottom,end,base,foundation,
football;"Football is a game played by two teams of eleven players using a round ball. Players kick the ball to each other and try to score goals by kicking the ball into a large net.
";uncountable noun; Several boys were still playing football on the waste ground.;
for;"If something is for someone, they are intended to have it or benefit from it.
";preposition; Isn't that enough for you?;intended,backing,
force;"If someone forces you to do something, they make you do it even though you do not want to, for example by threatening you.
";verb; The gunman forced a woman to drive him across the city, stopping to shoot at bystanders.;impose,foist,push,thrust,propel,blast,wrench,prise,means,power,medium,influence,power,effect,authority,
foreign;"Something or someone that is foreign comes from or relates to a country that is not your own.
";adjective; ...a huge attraction for foreign visitors.;alien,overseas,exotic,unknown,external,extraneous,outside,unfamiliar,strange,unknown,alien,
forest;"A forest is a large area where trees grow close together.
";variable noun; Parts of the forest are still dense and inaccessible.;wood,grove,
forever;"If you say that something will happen or continue forever, you mean that it will always happen or continue.
";adverb; I think that we will live together forever.;always,all the time,
forget;"If you forget something or forget how to do something, you cannot think of it or think how to do it, although you knew it or knew how to do it in the past.
";verb; Sometimes I improvise and change the words because I forget them.;neglect,overlook,omit,ignore,overlook,
form;"A form of something is a type or kind of it.
";countable noun; He contracted a rare form of cancer.;type,sort,kind,variety,shape,formation,configuration,construction,arrange,combine,organize,train,develop,shape,mould,document,paper,sheet,questionnaire,
formal;"Formal speech or behaviour is very correct and serious rather than relaxed and friendly, and is used especially in official situations.
";adjective; He wrote a very formal letter of apology to Douglas.;serious,stiff,detached,aloof,convention,form,decorum,official,express,explicit,authorized,ceremonial,traditional,solemn,conventional,established,traditional,regular,symmetrical,
formation;"The formation of something is the starting or creation of it.
";uncountable noun; ...the formation of a new government.;establishment,development,constitution,evolution,arrangement,grouping,figure,design,
former;"Former is used to describe someone who used to have a particular job, position, or role, but no longer has it.
";adjective; The unemployed executives include former sales managers, directors and accountants.;previous,one-time,erstwhile,past,earlier,bygone,
formula;"A formula is a plan that is invented in order to deal with a particular problem.
";countable noun;" It is difficult to imagine how the North and South could ever agree on a formula
to unify the divided peninsula.";mixture,preparation,compound,composition,
forth;"When someone goes forth from a place, they leave it.
";adverb; Go forth into the desert.;forward,out,away,ahead,out,
fortune;"You can refer to a large sum of money as a fortune or a small fortune to emphasize how large it is.
";countable noun; We had to eat out all the time. It ended up costing a fortune.;wealth,means,property,riches,destiny,life,lot,chance,fate,destiny,
forward;"If you move or look forward, you move or look in a direction that is in front of you. In British English, you
can also move or look forwards.
";adverb; The music is used to forward the plot, not simply to keep the toes tapping.;out,presumptuous,confident,familiar,bold,impertinence,familiarity,
found;"Found is the past tense and past participle of find.
";verb; The Independent Labour Party was founded in Bradford on January 13, 1893.;establish,start,begin,institution,organization,underpinning,groundwork,bedrock,basis,heart,root,mainstay,erect,build,construct,raise,
foundation;"The foundation of something such as a belief or way of life is the things on which it is based.
";countable noun; Best friends are the foundation of my life.;justification,basis,warrant,
founder;"The founder of an institution, organization, or building is the person who got it started or caused it to be built, often by providing the necessary money.
";countable noun; He was one of the founders of the university's medical faculty.;father,author,sink,go down,submerge,
four;"Four is the number 4.
";number; Judith is married with four children.;
fourth;"The fourth item in a series is the one that you count as number four.
";ordinal number; He ended up just outside the medals in fourth place.;
frame;"The frame of a picture or mirror is the wood, metal, or plastic that is fitted around it, especially when it is displayed or hung on a wall.
";countable noun; Estelle kept a photograph of her mother in a silver frame on the kitchen mantelpiece.;setting,surround,casing,framework,structure,shell,physique,build,form,body,case,enclose,set,surround,ring,enclose,devise,plan,form,shape,express,word,phrase,couch,
framework;"A framework is a particular set of rules, ideas, or beliefs which you use in order to deal with problems or to decide what to do.
";countable noun; ... within the framework of federal regulations.;system,plan,order,scheme,structure,body,frame,foundation,
free;"If something is free, you can have it or use it without paying for it.
";adjective; The seminars are free, with lunch provided.;complimentary,for nothing,unpaid,unrestricted,unimpeded,clear,deliver,disengage,leisure,unemployed,idle,available,extra,empty,spare,disentangle,extricate,disengage,detach,generous,willing,liberal,eager,
freedom;"Freedom is the state of being allowed to do what you want to do. Freedoms are instances of this.
";variable noun; ...freedom of speech.;independence,democracy,sovereignty,autonomy,liberty,release,discharge,emancipation,exemption,release,relief,privilege,
freeze;"If a liquid or a substance containing a liquid freezes, or if something freezes it, it becomes solid because of low temperatures.
";verb; If the temperature drops below 0°C, water freezes.;harden,stiffen,solidify,cool,ice,chill,stop,fix,hold,limit,
French;"French means belonging or relating to France, or to its people, language, or culture.
";adjective; ...the French parliament.;
frequency;"The frequency of an event is the number of times it happens during a particular period.
";uncountable noun; The frequency of Kara's phone calls increased rapidly.;recurrence,repetition,constancy,
frequent;"If something is frequent, it happens often.
";adjective; Bordeaux is on the main Paris-Madrid line so there are frequent trains.;common,repeated,usual,familiar,often,repeatedly,visit,attend,haunt,
frequently;" at frequent or brief intervals; often
";adverb;He wrote frequently: long, affectionate, amusing letters recounting the latest gossip from the set.;
fresh;"A fresh thing or amount replaces or is added to a previous thing or amount.
";adjective;" He asked Strathclyde police, which carried out the original investigation, to make
fresh inquiries.";additional,more,new,other,novelty,creativity,originality,new,original,novel,unusual,novelty,creativity,originality,novelty,creativity,originality,invigorating,clear,clean,bright,novelty,creativity,originality,shine,glow,bloom,cool,cold,refreshing,brisk,vivid,bright,rosy,clear,fair,bright,lively,bright,keen,
friend;"A friend is someone who you know well and like, but who is not related to you.
";countable noun; I had a long talk about this with my best friend.;companion,supporter,ally,associate,sponsor,add,follow,
friendly;"If someone is friendly, they behave in a pleasant, kind way, and like to be with other people.
";adjective; Godfrey had been friendly to me.;amicable,warm,familiar,pleasant,amiability,warmth,
friendship;"A friendship is a relationship between two or more friends.
";variable noun; Giving advice when it's not called for is the quickest way to end a good friendship.;affection,harmony,goodwill,
from;"If something comes from a particular person or thing, or if you get something from them, they give it to you or they are the source of it.
";preposition; He appealed for information from anyone who saw the attackers.;
front;"The front of something is the part of it that faces you, or that faces forward, or that you normally see or use.
";countable noun; One man sat in an armchair, and the other sat on the front of the desk.;head,start,lead,beginning,exterior,facing,face,façade,foremost,promenade,parade,boulevard,vanguard,disguise,cover,screen,blind,overlook,lead,head,direct,command,
fruit;"Fruit or a fruit is something which grows on a tree or bush and which contains seeds or a stone covered by a substance that you can eat.
";variable noun; Fresh fruit and vegetables provide fibre and vitamins.;result,reward,outcome,
frustration;the condition of being frustrated;noun; Moments of anger or frustration would spill out and it rarely helped me win.;
fuel;"Fuel is a substance such as coal, oil, or petrol that is burned to provide heat or power.
";variable noun; They ran out of fuel.;petrol,oil,inflame,power,charge,fire,
full;"If something is full, it contains as much of a substance or as many objects as it can.
";adjective; Once the container is full, it stays shut until you turn it clockwise.;satisfied,replete,strength,swelling,wealth,entirety,totality,plenty,glut,sufficiency,extensive,detailed,complete,broad,maximum,top,eventful,exciting,active,busy,directly,right,straight,square,rounded,strong,rich,powerful,plump,rounded,voluptuous,shapely,voluminous,large,loose,baggy,strength,swelling,wealth,entirety,totality,
fully;"Fully means to the greatest degree or extent possible.
";adverb; She was fully aware of my thoughts.;totally,perfectly,entirely,totally,entirely,amply,
fun;"You refer to an activity or situation as fun if you think it is pleasant and enjoyable and it causes you to feel happy.
";uncountable noun; This year promises to be terrifically good fun.;amusement,sport,treat,pleasure,
function;"The function of something or someone is the useful thing that they do or are intended to do.
";countable noun; The main function of the merchant banks is to raise capital for industry.;purpose,business,job,concern,work,run,operate,perform,act,serve,operate,perform,
fund;"Funds are amounts of money that are available to be spent, especially money that is given to an organization or person for a particular purpose.
";plural noun; The charity raises funds for research into Duchenne muscular dystrophy.;reserve,trust,stock,supply,finance,back,support,store,stock,source,supply,
fundamental;"You use fundamental to describe things, activities, and principles that are very important or essential. They affect the basic nature of other things or are the most important element upon which other things depend.
";adjective; Our constitution embodies all the fundamental principles of democracy.;central,first,prime,basic,essential,underlying,organic,
funding;"Funding is money which a government or organization provides for a particular purpose.
";uncountable noun; They hope for government funding for the scheme.;
funeral;"A funeral is the ceremony that is held when the body of someone who has died is buried or cremated.
";countable noun; His funeral will be on Thursday at Blackburn Cathedral.;burial,
funny;"Someone or something that is funny is amusing and likely to make you smile or laugh.
";adjective; Wade was smart and not bad-looking, and he could be funny when he wanted to.;humorous,amusing,comical,entertaining,peculiar,odd,strange,unusual,ill,queasy,sick,quip,pun,
furniture;"Furniture consists of large objects such as tables, chairs, or beds that are used in a room for sitting or lying on or for putting things on or in.
";uncountable noun; Each piece of furniture in their home suited the style of the house.;
furthermore;"Furthermore is used to introduce a piece of information or opinion that adds to or supports the previous one.
";adverb; Furthermore, they claim that any such interference is completely ineffective.;moreover,further,besides,
future;"The future is the period of time that will come after the present, or the things that will happen then.
";singular noun; The spokesman said no decision on the proposal was likely in the immediate future.;hereafter,forthcoming,coming,later,prospect,expectation,outlook,
gain;"If a person or place gains something such as an ability or quality, they gradually get more of it.
";verb; Students can gain valuable experience by working on the campus radio or magazine.;profit,make,earn,get,gather,attain,earn,get,achieve,
galaxy;"A galaxy is an extremely large group of stars and planets that extends over many billions of light years.
";countable noun; Astronomers have discovered a distant galaxy.;
gallery;"A gallery is a place that has permanent exhibitions of works of art in it.
";countable noun; ...an art gallery.;passage,hall,lobby,corridor,
game;"A game is an activity or sport usually involving skill, knowledge, or chance, in which you
follow fixed rules and try to win against an opponent or to solve a puzzle.
";countable noun; ...the wonderful game of football.;pastime,sport,activity,entertainment,match,meeting,event,competition,amusement,joke,entertainment,diversion,chase,prey,quarry,willing,prepared,ready,keen,
gang;"A gang is a group of people, especially young people, who go around together and often deliberately cause trouble.
";countable noun; During the fight with a rival gang he lashed out with his flick knife.;group,crowd,pack,company,ring,organization,band,circle,group,crowd,company,squad,team,troop,force,
gap;"A gap is a space between two things or a hole in the middle of something solid.
";countable noun; He pulled the thick curtains together, leaving just a narrow gap.;opening,space,hole,break,interval,pause,recess,interruption,need,demand,requirement,necessity,difference,gulf,contrast,disagreement,
garage;"A garage is a building in which you keep a car. A garage is often built next to or as part of a house.
";countable noun; Nancy took her car to a local garage for a check-up.;
garden;"In British English, a garden is a piece of land next to a house, with flowers, vegetables, other plants, and often grass. In American
English, the usual word is yard, and a garden refers only to land which is used for growing flowers and vegetables.
";countable noun; ...the most beautiful garden on Earth.;park,plot,patch,
garlic;"Garlic is the small, white, round bulb of a plant that is related to the onion plant. Garlic has a very strong smell and taste and is used in cooking.
";uncountable noun; ...a clove of garlic.;
gas;"Gas is a substance like air that is neither liquid nor solid and burns easily. It is used as a fuel for cooking and heating.
";uncountable noun; Coal is actually cheaper than gas.;petrol,
gate;"A gate is a structure like a door which is used at the entrance to a field, a garden, or the grounds of a building.
";countable noun; He opened the gate and started walking up to the house.;barrier,opening,door,access,
gather;"If people gather somewhere or if someone gathers people somewhere, they come together in a group.
";verb; In the evenings, we gathered around the fireplace and talked.;congregate,assemble,collect,collect,assemble,accumulate,muster,collect,assemble,summon,understand,believe,hear,learn,fold,tuck,pleat,ruffle,
gay;"A gay person is homosexual.
";adjective; ...the gay community.;homosexual,lesbian,cheerful,happy,bright,glad,
gaze;"If you gaze at someone or something, you look steadily at them for a long time, for example because you find them attractive or interesting, or because you are thinking about something else.
";verb; She stood gazing at herself in the mirror.;stare,look,view,watch,stare,look,
gear;"The gears on a machine or vehicle are a device for changing the rate at which energy is changed
into motion.
";countable noun; Colleges are not always geared to the needs of mature students.;effects,stuff,clothing,wear,dress,clothes,equip,fit,suit,adjust,
gender;"Gender is the state of being male or female in relation to the social and cultural roles that are considered appropriate for men and women.
";uncountable noun; It is illegal to discriminate on the grounds of race, gender or sexual orientation.;sex,
gene;"A gene is the part of a cell in a living thing which controls its physical characteristics, growth, and development.
";countable noun; Perhaps because the search for more efficient egg production now involves jellyfish genes.;
general;"A general is a senior officer in the armed forces, usually in the army.
";countable noun; He rose through the ranks to become a general.;overall,complete,total,global,ordinary,regular,usual,typical,
generally;"You use generally to give a summary of a situation, activity, or idea without referring to the particular details of it.
";adverb; University teachers generally have admitted a lack of enthusiasm about their subjects.;broadly,mainly,mostly,principally,usually,
generate;"To generate something means to cause it to begin and develop.
";verb; The Employment Minister said the reforms would generate new jobs.;produce,create,make,form,
